user,timestamp,hours,project,logged_time
Jorah,2018-11-22 00:00:00,1.0,projects,01:00:00
Jorah,2018-11-22 00:00:00,0.5,transit,00:30:00
Arya,2018-11-22 00:00:00,6.0,projects,06:00:00
Robert,2018-11-22 00:00:00,0.5,projects,00:30:00
Robert,2018-11-22 00:00:00,1.0,projects,01:00:00
Daenerys,2018-11-22 00:00:00,4.0,blog ideas,04:00:00
Robert,2018-11-22 00:00:00,1.5,bizdev,01:30:00
Robert,2018-11-22 00:00:00,2.0,bizdev,02:00:00
Robert,2018-11-22 00:00:00,1.0,bizdev,01:00:00
Robert,2018-11-22 00:00:00,0.5,culture and management,00:30:00
Robert,2018-11-22 00:00:00,0.5,ops and admin,00:30:00
Robert,2018-11-22 00:00:00,2.0,transit,02:00:00
Robert,2018-11-22 00:00:00,4.0,events,04:00:00
Daenerys,2018-11-22 00:00:00,1.0,culture and management,01:00:00
Arya,2018-11-22 00:00:00,2.0,projects,02:00:00
Robert,2018-11-22 00:00:00,1.0,events,01:00:00
Tyrion,2018-11-22 00:00:00,3.0,projects,03:00:00
Tyrion,2018-11-22 00:00:00,2.5,blog ideas,02:30:00
Daenerys,2018-11-22 00:00:00,2.0,projects,02:00:00
Daenerys,2018-11-22 00:00:00,3.0,blog ideas,03:00:00
Daenerys,2018-11-22 00:00:00,3.0,projects,03:00:00
Hound,2018-11-22 00:00:00,0.5,ops and admin,00:30:00
Hound,2018-11-22 00:00:00,1.0,finance,01:00:00
Hound,2018-11-22 00:00:00,1.0,ops and admin,01:00:00
Hound,2018-11-22 00:00:00,1.5,finance,01:30:00
Hound,2018-11-22 00:00:00,0.75,ops and admin,00:45:00
Hound,2018-11-22 00:00:00,0.5,blog ideas,00:30:00
Hound,2018-11-22 00:00:00,2.0,finance,02:00:00
Robert,2018-11-22 00:00:00,0.5,projects,00:30:00
Cersei,2018-11-22 00:00:00,8.0,blog ideas,08:00:00
Littlefinger,2018-11-22 00:00:00,4.0,recruitment,04:00:00
Littlefinger,2018-11-22 00:00:00,3.0,events,03:00:00
Littlefinger,2018-11-22 00:00:00,4.0,ops and admin,04:00:00
Sansa,2018-11-22 00:00:00,2.0,bizdev,02:00:00
Sansa,2018-11-22 00:00:00,4.0,events,04:00:00
Sansa,2018-11-22 00:00:00,1.0,transit,01:00:00
Sansa,2018-11-22 00:00:00,2.0,projects,02:00:00
Melisandre,2018-11-22 00:00:00,3.45,projects,03:27:00
Melisandre,2018-11-22 00:00:00,4.0,projects,04:00:00
